tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,ChemicalPlant,RawMaterialForElastomer,ElastomerSynthesisProcess,RealElastomer,ElastomerCharacterization,Density,Hardness (Shore A),Tensile Strength (MPa),Elongation at Break (%),Thermal Stability
Michelin tyre process,Tyre Molding,Banbury Mixing (Intensive),4-Roll Calender,Polymer Blending Facility,"Ethylene, Propylene, Diene monomers, organic peroxides",Gas-Phase Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Radial Tyre Building,Internal Mixing (High Shear),3-Roll Calender,Elastomer Production Facility,"Styrene, Butadiene, Antioxidants, Antioxidants, Plasticizers",High-Pressure Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Belt Building,Internal Mixing,Sheeting Calender,Polymer Processing Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Sidewall Extrusion,Two-Stage Mixing,3-Roll Calender,Polymer Blending Facility,"Isoprene Monomer, Accelerators, Softeners and Extenders",Solution Polymerization,Polyisoprene Rubber (IR),"Thermogravimetric Analysis (TGA),",0.92,60,19.5,450,130
Michelin tyre process,Radial Tyre Building,Internal Mixing (High Shear),Ply Calendaring,Tyre Manufacturing Plant,"Styrene, Butadiene, Antioxidants, Plasticizers",Solution Polymerization with Coupling Agents,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Belt Building,Two-Stage Mixing,Ply Calendaring,Synthetic Rubber Plant,"Butadiene Monomer, Stabilizers, Accelerators",Emulsion Polymerization,Butadiene Rubber (BR),Nuclear Magnetic Resonance (NMR),0.88,55,17,430,120
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing (Internal & Banbury),Multi-Roll Calender,Polymer Processing Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Scanning Electron Microscopy (SEM),0.86,70,14.5,400,140
Michelin tyre process,Microwave Curing,Internal Mixing (Low Shear),3-Roll Calender,Tyre Manufacturing Plant,"Styrene, Butadiene, Antioxidants, Plasticizers",Suspension Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Tyre Curing,High-Pressure Mixing,4-Roll Calender,Tyre Manufacturing Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Tyre Treading,Banbury Mixing,Sheeting Calender,Elastomer Production Facility,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,High-Cis Polybutadiene (BR),Moving Die Rheometry (MDR),0.91,60,19,470,120
Michelin tyre process,Tyre Molding,Internal Mixing,Multi-Roll Calender,Emulsion Polymerization with Chain Extension,"Natural Rubber, Sulfur",Cationic Polymerization,Polyisoprene,Tensile Testing,0.93,50,22.5,600,110
Michelin tyre process,Mold Cure Pressure: 10 MPa,Two-Stage Mixing,Multi-Roll Calender,Bulk Polymerization with Modifiers,"Butadiene, Styrene, Plasticizers",Free Radical Polymerization,High-Impact Styrene-Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,18,480,120
Michelin tyre process,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),Sheeting Calender,Tyre Manufacturing Plant,Chloroprene Monomers,High-Pressure Polymerization,Chloroprene Rubber (CR),Differential Scanning Calorimetry (DSC),0.92,55,17.5,420,125
Michelin tyre process,Single-Stage Cure,Banbury Mixing (Intensive),3-Roll Calender,Solution Polymerization with Coupling Agents,"Nitrile Monomers, Stabilizers",Ziegler-Natta Polymerization,Nitrile Butadiene Rubber (NBR),Nuclear Magnetic Resonance (NMR),0.97,70,16,390,130
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Tyre Manufacturing Plant,"Ethylene, Propylene, Plasticizers",Bulk Polymerization,Thermoplastic Polyolefin (TPO),Scanning Electron Microscopy (SEM),0.89,75,20,410,135
Michelin tyre process,Belt Building,Internal Mixing,4-Roll Calender,Polymer Blending Facility,"Butyl Rubber, Additives",Solution Polymerization,Butyl Rubber (IIR),Dynamic Mechanical Analysis (DMA),0.85,65,15.5,370,115
Michelin tyre process,Tyre Treading,Banbury Mixing (Intensive),3-Roll Calender,Bulk Polymerization with Modifiers,"Silicone Monomers, Catalysts",Suspension Polymerization,Silicone Rubber (VMQ),Differential Scanning Calorimetry (DSC),0.98,60,14,500,140
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,2-Roll Calender,Polymer Blending Facility,Polybutadiene Monomers,Solution Polymerization,High-Cis Polybutadiene Rubber (BR),Moving Die Rheometry (MDR),0.91,58,19,470,120
Michelin tyre process,Microwave Curing,Internal Mixing (High Shear),4-Roll Calender,Tyre Manufacturing Plant,"Isobutylene, Isoprene",Emulsion Polymerization,Isobutylene-Isoprene Rubber (IIR),Nuclear Magnetic Resonance (NMR),0.86,60,15,450,110
Michelin tyre process,Tyre Curing,Two-Stage Mixing,Multi-Roll Calender,Synthetic Rubber Plant,"Styrene, Butadiene, Silica",Bulk Polymerization,Styrene-Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,70,16,460,115
Michelin tyre process,Tyre Molding,Banbury Mixing,3-Roll Calender,Tyre Manufacturing Plant,"Ethylene, Propylene, Diene Monomers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Scanning Electron Microscopy (SEM),0.87,68,14.5,400,130
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Synthetic Rubber Plant,"Chloroprene Monomers, Stabilizers",Solution Polymerization,Polychloroprene Rubber (CR),Tensile Testing,0.92,55,17.5,410,125
Michelin tyre process,Belt Building,Internal Mixing (Low Shear),Multi-Roll Calender,Polymer Blending Facility,"Styrene, Butadiene, Plasticizers",Cationic Polymerization,High-Impact Styrene-Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.95,67,18.5,490,120
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),Sheeting Calender,Bulk Polymerization with Modifiers,"Butadiene Monomers, Antioxidants",Free Radical Polymerization,Butadiene Rubber (BR),Moving Die Rheometry (MDR),0.89,54,17,430,125
Michelin tyre process,Tyre Treading,Internal Mixing (High Shear),3-Roll Calender,Tyre Manufacturing Plant,"Isoprene Monomer, Accelerators",High-Pressure Polymerization,Polyisoprene Rubber (IR),Differential Scanning Calorimetry (DSC),0.91,62,19,450,130
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,2-Roll Calender,Tyre Manufacturing Plant,"Natural Rubber, Sulfur",Ziegler-Natta Polymerization,Polyisoprene,Nuclear Magnetic Resonance (NMR),0.93,52,22,580,120
Michelin tyre process,Belt Building,Internal Mixing (High Shear),Sheeting Calender,Synthetic Rubber Plant,"Ethylene, Propylene, Plasticizers",Bulk Polymerization,Thermoplastic Polyolefin (TPO),Dynamic Mechanical Analysis (DMA),0.88,70,20.5,420,135
Michelin tyre process,Microwave Curing,Internal Mixing,4-Roll Calender,Polymer Blending Facility,"Butyl Rubber, Additives",Solution Polymerization,Butyl Rubber (IIR),Scanning Electron Microscopy (SEM),0.86,65,16,380,115
Michelin tyre process,Tyre Curing,Two-Stage Mixing,Multi-Roll Calender,Bulk Polymerization with Modifiers,"Silicone Monomers, Catalysts",Suspension Polymerization,Silicone Rubber (VMQ),Moving Die Rheometry (MDR),0.99,62,14.5,510,140
Michelin tyre process,Tyre Molding,Banbury Mixing (Intensive),3-Roll Calender,Tyre Manufacturing Plant,Polybutadiene Monomers,Cationic Polymerization,High-Cis Polybutadiene Rubber (BR),Differential Scanning Calorimetry (DSC),0.92,58,19.5,480,120
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Solution Polymerization with Coupling Agents,"Isobutylene, Isoprene",Ring-Opening Metathesis Polymerization (ROMP),Isobutylene-Isoprene Rubber (IIR),Nuclear Magnetic Resonance (NMR),0.86,60,15,450,110
Michelin tyre process,Belt Building,Internal Mixing (High Shear),2-Roll Calender,Tyre Manufacturing Plant,"Styrene, Butadiene, Silica",Coordination Polymerization,Styrene-Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,68,17,470,125
Michelin tyre process,Tyre Treading,Steel Cord Preparation,Multi-Roll Calender,Polymer Blending Facility,"Ethylene, Propylene, Diene Monomers",Anionic Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.87,70,15,400,130
Michelin tyre process,Radial Tyre Building,Continuous Mixing,3-Roll Calender,Bulk Polymerization with Modifiers,"Chloroprene Monomers, Stabilizers",Living Radical Polymerization (LRP),Polychloroprene Rubber (CR),Tensile Testing,0.92,55,17.5,410,125
Michelin tyre process,Belt Building,Hybrid Mixing,4-Roll Calender,Polymer Blending Facility,"Butyl Rubber, Additives",Ionic Polymerization,Butyl Rubber (IIR),Scanning Electron Microscopy (SEM),0.85,67,15.5,390,115
Michelin tyre process,Microwave Curing,Twin-Screw Extruder Mixing,Multi-Roll Calender,Tyre Manufacturing Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Photopolymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Tyre Curing,Roller Die Mixing,3-Roll Calender,Synthetic Rubber Plant,"Styrene, Butadiene, Antioxidants, Antioxidants, Plasticizers",Thermal Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Tyre Molding,Intermeshing Mixer,4-Roll Calender,Polymer Processing Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Electrochemical Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Single-Stage Cure,Multi-Stage Mixing,3-Roll Calender,Elastomer Production Facility,"Isoprene Monomer, Accelerators, Softeners and Extenders",Metal-Catalyzed Polymerization,Polyisoprene Rubber (IR),"Thermogravimetric Analysis (TGA),",0.92,60,19.5,450,130
Michelin tyre process,Bead Winding,Rotor-Stator Mixing,Sheeting Calender,Petrochemical Refinery,"Styrene, Butadiene, Antioxidants, Plasticizers",Graft Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Green Tyre Inspection,High-Energy Mixing,3-Roll Calender,Tyre Manufacturing Plant,"Butadiene Monomer, Stabilizers, Accelerators",Co-polymerization,Butadiene Rubber (BR),Nuclear Magnetic Resonance (NMR),0.88,55,17,430,120
Michelin tyre process,Sidewall Extrusion,Variable Speed Mixing,Ply Calendaring,Synthetic Rubber Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",In Situ Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Scanning Electron Microscopy (SEM),0.86,70,14.5,400,140
Michelin tyre process,Tread Extrusion,Planetary Mixing,Ply Calendaring,Tyre Manufacturing Plant,"Styrene, Butadiene, Antioxidants, Plasticizers",Interpenetrating Polymer Networks (IPNs),Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Cushion Gum Application,Automated Mixing,Multi-Roll Calender,Bulk Polymerization with Modifiers,"Ethylene, Propylene, Diene monomers, organic peroxides",Radical-Initiated Coagulation Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
